y_true,y_pred_model0,y_pred_model1,trip_distance,pickup_hour,is_weekend,abs_err_model0,abs_err_model1
10.0,10.63619460123638,9.95143149836275,2.3,21,True,0.6361946012363795,0.04856850163725035
22.5,19.457289480238153,22.50537563743446,5.95,19,True,3.0427105197618474,0.0053756374344615665
10.5,9.427825439729286,9.855145916783165,1.8,9,True,1.0721745602707138,0.6448540832168348
7.0,7.059421883175385,6.986399450330371,0.82,9,False,0.05942188317538477,0.013600549669629203
3.5,5.802717955208009,3.155234201052217,0.3,18,False,2.302717955208009,0.3447657989477828
12.5,13.5362805888534,12.399024112937713,3.5,14,False,1.0362805888533995,0.10097588706228677
69.0,47.85396477565482,68.00659220283931,17.7,10,True,21.146035224345177,0.9934077971606854
7.0,7.736108613619357,6.575835849382387,1.1,10,False,0.7361086136193569,0.4241641506176128
5.0,6.890250200564392,4.7690677984640075,0.75,6,False,1.8902502005643917,0.23093220153599248
4.5,6.769413284413683,4.716822645899852,0.7,17,True,2.269413284413683,0.21682264589985234
5.0,7.542769547778223,5.016692224442226,1.02,18,False,2.5427695477782226,0.016692224442225623
14.0,14.019628253456238,13.94704262185184,3.7,5,False,0.0196282534562382,0.05295737814815915
12.0,12.472915726727159,11.706056509720504,3.06,7,False,0.47291572672715887,0.29394349027949573
52.0,49.15900347008248,52.0,18.24,12,False,2.8409965299175184,0.0
6.5,9.137816840967584,6.65035035471065,1.68,12,True,2.6378168409675844,0.15035035471064973
8.5,8.847808242205883,8.452617321200043,1.56,9,False,0.3478082422058826,0.04738267879995739
5.5,7.736108613619357,5.5279310273060265,1.1,9,False,2.236108613619357,0.02793102730602648
20.5,17.59640097151723,21.529310070444254,5.18,0,True,2.9035990284827697,1.0293100704442537
15.0,10.15284693663354,14.93955446714018,2.1,19,False,4.847153063366459,0.060445532859819906
9.0,7.011087116715101,8.93688972138972,0.8,19,False,1.9889128832848986,0.06311027861027974
8.5,8.509464876983895,9.265126305550744,1.42,8,False,0.009464876983894754,0.7651263055507442
7.5,7.494434781317938,7.084847972375062,1.0,10,True,0.005565218682061612,0.41515202762493786
4.0,6.286065619810846,3.7910473246911334,0.5,21,True,2.286065619810846,0.20895267530886663
6.0,7.011087116715101,5.908995343300492,0.8,8,False,1.0110871167151014,0.09100465669950797
5.5,7.25276094901652,5.501451013896232,0.9,20,False,1.75276094901652,0.001451013896232034
6.0,6.5277394521122645,6.020697725721991,0.6,23,True,0.5277394521122645,0.020697725721991134
8.5,8.219456278222193,8.506870005660833,1.3,20,True,0.28054372177780706,0.006870005660832845
9.0,8.702803942825032,8.592760347903727,1.5,20,False,0.29719605717496833,0.40723965209627266
12.5,12.182907127965457,12.026549172522946,2.94,22,False,0.31709287203454295,0.4734508274770537
7.0,9.258653757118292,7.682234945609948,1.73,21,True,2.2586537571182923,0.6822349456099479
7.0,7.977782445920775,6.675792756918437,1.2,7,False,0.9777824459207753,0.32420724308156323
7.5,9.258653757118292,7.869876742742555,1.73,2,False,1.7586537571182923,0.3698767427425551
17.0,17.28222498952539,16.780580712948893,5.05,7,False,0.282224989525389,0.2194192870511067
9.0,8.461130110523612,9.30904183969625,1.4,11,True,0.5388698894763877,0.3090418396962509
5.0,7.446100014857654,5.099243070233859,0.98,15,True,2.446100014857654,0.09924307023385914
7.0,7.25276094901652,7.109902044184747,0.9,14,False,0.2527609490165199,0.10990204418474736
8.0,9.427825439729286,8.323498468486278,1.8,20,False,1.4278254397292862,0.32349846848627806
6.0,7.78444338007964,5.941549385717054,1.12,23,False,1.7844433800796402,0.058450614282945956
21.5,20.303147893293115,21.84701759286249,6.3,20,False,1.196852106706885,0.347017592862489
16.5,14.792984516820775,17.378057877375895,4.02,10,False,1.7070154831792248,0.8780578773758947
7.0,8.316125811142761,6.781592618370194,1.34,0,False,1.3161258111427614,0.218407381629806
8.0,7.977782445920775,7.992152827520235,1.2,7,False,0.022217554079224655,0.00784717247976463
29.0,28.78589940707291,29.172672766979748,9.81,1,True,0.21410059292708894,0.17267276697974765
7.0,7.663606463928931,6.859479419273538,1.07,10,False,0.6636064639289314,0.140520580726462
4.5,6.286065619810846,4.781464947752197,0.5,19,False,1.786065619810846,0.2814649477521973
9.5,9.427825439729286,9.150086656399154,1.8,21,False,0.07217456027071378,0.34991334360084636
6.0,7.156091416095952,5.846525357210354,0.86,10,True,1.1560914160959523,0.15347464278964562
5.5,7.25276094901652,5.676315439258453,0.9,15,False,1.75276094901652,0.1763154392584534
28.0,28.640895107692053,28.470173898190748,9.75,8,True,0.640895107692053,0.4701738981907475
8.5,8.94447777512645,8.538016921273178,1.6,13,False,0.44447777512644926,0.03801692127317757
10.0,8.219456278222193,10.028362295180317,1.3,13,False,1.780543721777807,0.028362295180317076
40.5,35.697771010893476,38.44665191188473,12.67,14,False,4.802228989106524,2.0533480881152713
8.0,9.59699712234028,7.537190577085023,1.87,23,True,1.5969971223402801,0.46280942291497684
16.0,14.817151900050918,16.233615348413622,4.03,20,True,1.1828480999490818,0.23361534841362186
9.0,9.742001421721131,8.604030888012486,1.93,20,False,0.742001421721131,0.3959691119875135
7.0,7.977782445920775,6.912234024961965,1.2,17,False,0.9777824459207753,0.0877659750380353
8.0,9.186151607427867,7.7688604866817945,1.7,23,True,1.1861516074278668,0.23113951331820548
8.0,7.808610763309782,8.117585301095968,1.13,13,False,0.19138923669021768,0.11758530109596776
10.0,11.361216098140634,10.13236594810633,2.6,22,True,1.361216098140634,0.1323659481063295
